invoeden_EURMWh,afnemen_EURMWh,imbalance_demand,imbalance_supply
22.14,63.16,4788,0
16.32,16.32,41000,0
38.78,38.78,35258,0
27.64,27.64,79984,0
122.14,122.14,0,-51382
31.52,31.52,36031,0
10.36,10.36,41662,0
18.92,18.92,44383,0
-63.45,49.85,14785,0
46.53,46.53,0,-9283
41.14,41.14,20087,0
41.14,41.14,24574,0
137.76,137.76,0,-48559
55.66,55.66,0,-36667
48.12,48.12,0,-7668
42.44,45.1,15498,0
110.02,110.02,0,-59006
157.02,157.02,0,-20357
42.29,42.29,0,-2983
44.27,45.08,13125,0
44.03,57.14,0,-47945
50.11,50.11,0,-16184
44.04,44.04,1070,0
41.14,41.14,9778,0
57.14,57.14,0,-30327
60.45,60.45,0,-32568
40.55,40.55,5605,0
40.55,40.55,21749,0
86.74,86.74,0,-59851
40.55,49.14,12015,0
36.54,36.54,30123,0
23.73,23.73,50212,0
37.14,37.14,20279,0
40.55,40.55,26945,0
36.7,36.7,30963,0
41.03,41.03,17251,0
20.99,20.99,59633,0
37.89,37.89,33054,0
37.14,37.14,26190,0
41.58,41.58,8423,0
17.54,17.54,53876,0
21.03,21.03,60763,0
30.03,30.03,31104,0
20.6,20.6,32035,0
-55.09,-55.09,92576,0
21.12,21.12,65455,0
23.86,23.86,56357,0
-55.09,-55.09,75088,0
17.84,45.36,33807,0
-11.55,47.56,2641,0
42.04,50.91,0,-17907
41.03,41.03,10449,0
17.9,17.9,66606,0
34.91,34.91,24404,0
44.92,44.92,2529,0
50.91,50.91,0,-36962
35.16,47.68,38422,0
42.03,42.03,7291,0
39.67,39.67,14188,0
50.03,50.03,0,-16466
44.24,46.95,0,-2201
50.05,50.05,0,-9141
50.07,50.07,0,-20601
46.91,46.91,0,-11747
60.33,60.33,0,-35250
50.91,50.91,0,-35742
54.43,54.43,0,-31335
46.91,46.91,0,-21745
59.24,59.24,0,-48978
47.68,47.68,0,-47203
47.69,47.69,0,-55495
47.69,47.69,0,-61169
67.77,67.77,0,-42390
50.91,50.91,0,-27879
46.91,46.91,0,-25971
45.27,45.27,0,-32362
45.09,45.09,14216,0
45.08,45.08,16984,0
45.08,45.08,14307,0
44.92,44.92,0,-10455
41.57,41.57,51701,0
41.57,41.57,28930,0
44.5,44.5,14972,0
69.91,69.91,0,-41921
11.68,50.91,59454,0
52.37,52.37,0,-17853
55.14,55.14,0,-19269
51.05,51.05,0,-3834
54.91,54.91,0,-39893
44.71,44.71,0,-7017
45.49,45.49,0,-5342
45.49,45.49,6148,0
73.0,73.0,0,-45993
50.91,50.91,0,-21674
43.56,43.56,0,-1470
42.09,42.09,4966,0
46.91,46.91,0,-47554
45.24,45.24,0,-30381
42.16,42.16,10344,0
38.69,38.69,38188,0
39.8,46.91,0,-3002
41.89,41.89,17886,0
41.89,41.89,19876,0
38.69,38.69,38815,0
34.91,46.9,0,-13132
44.54,44.54,0,-1399
43.78,43.78,68,0
44.44,44.44,0,-31829
41.57,47.98,0,-8962
46.91,46.91,0,-28191
47.96,47.96,0,-13568
33.39,33.39,26089,0
-88.73,76.12,0,-17333
40.55,40.55,403,0
40.55,40.55,0,-7017
44.16,44.16,0,-17600
81.65,81.65,0,-38897
96.1,96.1,0,-20285
47.29,47.29,6746,0
49.14,49.14,7372,0
47.91,47.91,0,-277
46.63,46.63,0,-17987
45.11,45.11,0,-24907
45.14,45.14,0,-27238
56.85,56.85,0,-29025
50.03,50.03,0,-27505
54.95,54.95,0,-47192
60.22,60.22,0,-47448
47.8,47.8,0,-19484
47.81,47.81,0,-30801
47.81,47.81,0,-50042
47.81,47.81,0,-47961
47.86,47.86,0,-13515
47.86,47.86,0,-25376
47.87,47.87,0,-16390
47.87,47.87,0,-26512
45.84,45.84,0,-4651
53.22,53.22,0,-40402
109.48,109.48,0,-64503
68.84,68.84,0,-16608
45.26,45.26,22042,0
47.66,47.66,19541,0
49.84,49.84,0,-8647
49.24,49.24,0,-23221
41.84,47.35,38548,0
41.84,41.84,27605,0
47.33,47.33,30978,0
44.13,44.13,8666,0
61.22,61.22,0,-32976
68.84,68.84,0,-59342
68.84,68.84,0,-69456
53.84,53.84,0,-49569
43.03,47.87,41348,0
44.36,44.36,3779,0
49.84,49.84,0,-20330
49.84,49.84,0,-43053
44.96,44.96,37964,0
45.84,45.84,3232,0
49.84,49.84,0,-24524
52.68,52.68,0,-35398
60.29,60.29,0,-51415
52.68,52.68,0,-43601
53.66,53.66,0,-49626
91.63,91.63,0,-78175
62.14,62.14,0,-61442
48.12,48.12,0,-80800
100.12,100.12,0,-78957
48.68,48.68,0,-51078
44.59,44.59,0,-3676
48.68,48.68,0,-14477
46.52,46.52,0,-34852
52.68,52.68,0,-41171
44.68,44.68,0,-7408
44.68,44.68,0,-18351
44.68,44.68,0,-24136
44.14,44.14,0,-14808
44.74,44.74,19636,0
44.68,44.68,125,0
52.68,52.68,0,-29837
69.12,69.12,0,-68668
31.49,31.49,42502,0
45.02,45.02,0,-158
48.68,48.68,0,-11241
47.55,47.55,0,-343
45.39,45.39,0,-13324
45.05,45.05,14043,0
45.05,45.05,48588,0
45.05,45.05,58903,0
44.68,44.68,0,-3038
44.68,44.68,0,-5921
46.2,46.2,0,-5177
45.07,45.07,0,-7930
140.2,140.2,0,-77294
69.35,69.35,0,-46177
42.15,42.15,0,-12879
43.03,43.03,6055,0
48.15,48.15,0,-62849
67.68,67.68,0,-57693
45.49,45.49,0,-29993
41.78,41.78,2057,0
40.93,48.68,0,-79817
45.62,45.62,0,-48555
41.88,41.88,0,-5124
24.13,24.13,49409,0
2.7,100.27,0,-39660
47.42,157.76,0,-38634
32.9,32.9,43718,0
41.78,41.78,26894,0
18.84,46.12,21689,0
44.31,44.31,0,-27336
29.02,29.02,0,-46466
30.61,30.61,0,-66140
53.84,53.84,0,-120876
53.84,53.84,0,-77683
46.06,46.06,0,-69133
25.97,25.97,0,-49348
116.16,116.16,0,-93804
58.25,58.25,0,-64612
49.73,49.73,0,-59596
48.08,48.08,0,-65693
61.0,61.0,0,-31738
68.84,68.84,0,-26757
49.13,49.13,0,-24385
51.68,51.68,0,-7438
50.16,50.16,11607,0
51.68,51.68,7639,0
45.94,45.94,0,-11635
48.81,48.81,0,-18602
37.73,47.61,20658,0
33.84,33.84,30076,0
49.27,49.27,0,-2439
49.73,49.73,0,-2419
37.49,37.49,98423,0
33.96,33.96,41550,0
58.44,58.44,0,-32953
168.52,168.52,0,-119064
-53.25,-53.25,180440,0
46.66,46.66,87551,0
50.16,50.16,9727,0
119.02,119.02,0,-60129
46.87,46.87,35987,0
46.87,46.87,26965,0
46.37,46.37,16584,0
46.37,46.37,21722,0
54.93,54.93,0,-27256
45.63,45.63,0,-16515
45.96,45.96,0,-9968
45.55,45.55,1526,0
45.96,45.96,0,-34972
46.35,46.35,0,-16098
46.35,46.35,0,-1753
41.77,41.77,24697,0
211.39,211.39,0,-74476
46.12,211.39,0,-16800
42.03,47.99,0,-5877
60.49,60.49,0,-29234
200.41,200.41,0,-194781
267.27,267.27,0,-101629
60.18,60.18,0,-46899
45.96,45.96,0,-63257
99.02,99.02,0,-55942
71.17,71.17,0,-54745
45.96,45.96,0,-56599
45.86,45.86,0,-53115
54.7,54.7,0,-17183
45.96,45.96,14887,0
45.77,45.77,20938,0
45.73,45.73,27621,0
45.66,45.66,23603,0
46.87,46.87,39603,0
42.7,42.7,44074,0
46.78,46.78,33492,0
46.08,46.08,24918,0
46.08,46.08,30546,0
33.96,33.96,43055,0
45.96,45.96,0,-6399
19.51,19.51,55794,0
41.96,41.96,35382,0
33.96,33.96,52361,0
30.16,30.16,77602,0
44.95,44.95,0,-21589
37.38,37.38,26369,0
37.38,37.38,32783,0
43.57,43.57,0,-245
53.96,53.96,0,-38954
45.75,45.75,0,-30387
45.17,45.17,0,-18760
28.02,28.02,0,-48666
49.85,49.85,0,-20058
18.96,18.96,44348,0
-24.46,-24.46,50645,0
-9.76,-9.76,80401,0
65.86,65.86,0,-23638
38.15,38.15,25647,0
18.96,18.96,91566,0
18.96,18.96,78061,0
35.66,35.66,25481,0
38.34,38.34,18764,0
33.96,33.96,35109,0
33.96,33.96,35698,0
44.95,44.95,16016,0
37.85,44.67,13165,0
33.16,33.16,42834,0
-39.63,-39.63,67675,0
-148.12,-148.12,113921,0
33.71,33.71,77177,0
18.84,18.84,65052,0
-21.09,-21.09,93662,0
48.85,48.85,0,-9819
55.59,55.59,0,-9248
37.64,37.64,17692,0
32.12,32.12,30669,0
37.64,37.64,37186,0
33.16,33.16,35442,0
33.53,33.53,28980,0
37.78,37.78,26691,0
37.78,37.78,42662,0
41.64,41.64,49248,0
37.78,37.78,49186,0
33.71,33.71,63975,0
37.64,37.64,83711,0
37.78,37.78,73576,0
40.84,40.84,60956,0
40.81,40.81,65065,0
22.25,22.25,54549,0
42.27,42.27,36942,0
69.12,69.12,0,-43285
67.44,67.44,0,-39812
40.76,40.76,30763,0
39.96,39.96,78385,0
23.33,23.33,57188,0
42.39,42.39,43590,0
40.08,40.08,28832,0
58.11,58.11,0,-29547
107.98,107.98,0,-88839
160.84,160.84,0,-134292
74.0,74.0,0,-70238
77.83,77.83,0,-78991
117.28,117.28,0,-95410
262.3,262.3,0,-89535
40.08,40.08,6247,0
61.87,61.87,0,-24482
67.28,67.28,0,-51774
61.87,61.87,0,-57370
-57.72,-57.72,100428,0
32.15,32.15,62985,0
17.28,17.28,79538,0
32.15,32.15,71920,0
48.15,48.15,3323,0
36.08,48.15,25950,0
32.15,32.15,47786,0
39.78,39.78,41688,0
52.28,52.28,0,-46674
56.29,56.29,0,-47018
47.47,47.47,0,-14454
42.72,42.72,0,-1059
41.12,41.12,11271,0
41.12,41.12,0,-12106
41.12,41.12,0,-3083
48.15,48.15,0,-26477
52.28,52.28,0,-39439
52.28,52.28,0,-47231
48.15,48.15,0,-30046
49.34,49.34,0,-47431
46.94,46.94,0,-31600
67.28,67.28,0,-58919
117.28,117.28,0,-78122
62.75,62.75,0,-54365
13.06,13.06,81529,0
40.08,40.08,53757,0
46.76,46.76,72008,0
42.39,42.39,45457,0
40.08,44.44,6732,0
78.24,78.24,0,-46338
48.37,48.37,0,-42336
48.24,48.24,0,-23498
44.08,44.08,0,-24171
40.08,40.08,10467,0
36.08,36.08,25571,0
32.15,41.95,12458,0
37.12,37.12,64913,0
36.08,36.08,72275,0
36.08,36.08,84021,0
4.28,4.28,97199,0
7.65,7.65,26221,0
28.35,38.12,26436,0
36.08,36.08,20937,0
36.78,36.78,26919,0
117.28,117.28,0,-64385
48.15,48.15,0,-21351
29.79,37.12,10773,0
29.78,44.44,0,-6460
